tipo_imovel,logradouro,bairro,numero,metragem,quartos,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm
apartamento,Itacema,Itaim Bibi,51,106,2,1,1350000.0,-46.672958,-23.5792587,itacema,7391356.89,329276.4
apartamento,Charles Spencer Chaplin,Vila Andrade,503B,48,1,1,300000.0,-46.735993,-23.623195,charles spencer chaplin,7386414.67,322901.47
apartamento,Azevedo Marques,Santa Cecília,93,30,0,0,180000.0,-46.6570399,-23.5339608,azevedo marques,7396392.04,330843.14
apartamento,Anapurus,Moema Índios,21,125,3,2,1078000.0,-46.662169,-23.6118276,anapurus,7387763.04,330419.51
apartamento,França Pinto,Vila Mariana,61,145,3,2,1390000.0,-46.6433128,-23.5879285,franca pinto,7390431.84,332313.26
apartamento,Batataes,Jardim Paulista,112,167,3,2,,-46.6564606,-23.5713018,batataes,7392257.61,330950.08
apartamento,Sumaré,Perdizes,13,100,2,0,650000.0,-46.6765239,-23.5312568,sumare,7396668.37,328850.26
apartamento,Hungara,Vila Romana,112,51,2,1,550000.0,-46.703339,-23.532025,hungara,7396551.04,326113.27
apartamento,Alfonso Bovero,Perdizes,81,115,3,1,1000000.0,-46.683579,-23.537944,alfonso bovero,7395919.39,328138.58
apartamento,Fiandeiras,Vila Olímpia,91,65,1,1,560000.0,-46.6789371,-23.596907,fiandeiras,7389395.37,328689.05
apartamento,Altino Arantes,Vila Clementino,22,95,3,1,950000.0,-46.6443469,-23.6025714,altino arantes,7388809.09,332226.35
apartamento,Ouvidor Portugal,Cambuci,71,65,3,1,449000.0,-46.6131249,-23.5686105,ouvidor portugal,7392606.12,335370.15
apartamento,João Antônio de Oliveira,Mooca,141,121,3,2,950000.0,-46.603358,-23.5634139,joao antonio de oliveira,7393192.77,336360.67
apartamento,Amália Cerelo Godespoti,Cidade Ademar,54,67,2,1,350000.0,-46.6721676,-23.6651087,amalia cerelo godespoti,7381850.74,329468.29
apartamento,Baronesa de Itu,Santa Cecília,101,212,3,2,1870000.0,-46.6607927,-23.5379428,baronesa de itu,7395946.65,330465.08
apartamento,Arnaldo João Semeraro,Sacomã,32,62,2,1,300000.0,-46.6005384,-23.6504801,arnaldo joao semeraro,7383554.47,336756.37
apartamento,Elísio Teixeira Leite,Freguesia do Ó,54,62,2,1,400000.0,-46.7006343,-23.4837551,elisio teixeira leite,7401899.75,326326.13
apartamento,Rocha,Bela Vista,34,45,1,0,270000.0,-46.6498265,-23.5565201,rocha,7393902.34,331608.4
apartamento,Latif Fakhouri,Jabaquara,33,68,2,1,380000.0,-46.6659483,-23.6509807,latif fakhouri,7383422.71,330084.41
apartamento,Togo,Vila Maria,62,47,2,1,320000.0,-46.578634,-23.5058329,togo,7399597.09,338814.28
apartamento,Constante Ramos,Copacabana,501,242,4,0,2000000.0,-43.188188,-22.9744177,constante ramos,7458165.69,685733.9
apartamento,Antônio Ribeiro de Morais,Limão,123,62,3,1,380000.0,-46.6818486,-23.4910682,antonio ribeiro de morais,7401112.48,328254.44
apartamento,Miguel Lemos,Copacabana,702,279,4,1,3200000.0,-43.19381422,-22.97701507,miguel lemos,7457885.18,685153.47
apartamento,Natingui,Vila Madalena,22,132,2,3,1500000.0,-46.6950018,-23.548057,natingui,7394785.73,326985.53
apartamento,Canário,Moema Pássaros,42,57,2,1,,-46.6684052,-23.6026804,canario,7388768.59,329771.34
apartamento,Soares Cabral,Laranjeiras,601,114,3,0,750000.0,-43.18617921,-22.93575011,soares cabral,7462445.12,685992.76
apartamento,Rego Freitas,República,501,56,1,0,449000.0,-46.6466083,-23.5447388,rego freitas,7395210.76,331921.95
apartamento,João Antônio de Oliveira,Mooca,403,110,3,2,930000.0,-46.606369,-23.5564048,joao antonio de oliveira,7393965.5,336044.61
apartamento,Itaúna,Vila Maria,144,49,2,1,367000.0,-46.5886259,-23.5135119,itauna,7398735.5,337803.29
apartamento,Mourato Coelho,Vila Madalena,32,82,2,2,1209130.0,-46.6926736,-23.5558719,mourato coelho,7393923.12,327233.45
apartamento,Guanabara,Cursino,224,94,2,2,1040000.0,-46.6102948,-23.6099466,guanabara,7388031.9,335710.53
apartamento,Míriam,Chacara Klabin,14,75,2,1,440000.0,-46.6182101,-23.5841828,miriam,7390875.82,334870.57
apartamento,Princesa Isabel,Campo Belo,21,85,3,2,,-46.6848311,-23.6243523,princesa isabel,7386348.97,328123.34
apartamento,Sérgio Martins Blumer Bastos,Campo Limpo,53,60,2,1,290000.0,-46.7683692,-23.6514948,sergio martins blumer bastos,7383240.12,319636.67
apartamento,Tiagem,Jaguaré,21,78,3,1,350000.0,-46.7473681,-23.5468962,tiagem,7394850.1,321637.65
apartamento,Júlio Mesquita,República,112,53,2,0,513000.0,-46.6421586,-23.5410019,julio mesquita,7395629.79,332371.5
apartamento,Lópes Quintas,Jardim Botânico,109,56,2,1,900000.0,-43.22187427,-22.96412734,lopes quintas,7459347.46,682293.65
apartamento,Sarutaiá,Jardim Paulista,82,137,3,1,,-46.6536004,-23.5697864,sarutaia,7392428.8,331240.09
apartamento,Diego de Castilho,Vila Andrade,703,76,2,2,590000.0,-46.7211784,-23.6281747,diego de castilho,7385881.48,324419.74
apartamento,Alvorada,Vila Olímpia,11,62,2,1,500000.0,-46.6824623,-23.6003719,alvorada,7389007.44,328333.79
apartamento,Ocarina,Jabaquara,23,56,2,1,350000.0,-46.6345446,-23.6443921,ocarina,7384189.36,333279.63
apartamento,José Fernandes Caldas,Sacomã,71,46,2,1,349000.0,-46.6001531,-23.6481748,jose fernandes caldas,7383810.2,336792.82
apartamento,Martins Fontes,República,11,258,4,0,1260000.0,-46.6444398,-23.5493266,martins fontes,7394705.26,332149.16
apartamento,Marquês Olinda,Ipiranga,14,56,2,1,525000.0,-46.6116023,-23.6001767,marques olinda,7389112.3,335564.92
apartamento,Augusta,Bela Vista,42,99,2,1,,-46.6482134,-23.55074,augusta,7394544.32,331765.71
apartamento,José da Silva Ribeiro,Vila Andrade,11,100,3,2,500000.0,-46.7397535,-23.6238339,jose da silva ribeiro,7386339.25,322518.62
apartamento,Carlos Weber,Vila Leopoldina,11,172,4,3,1700000.0,-46.732747,-23.5253036,carlos weber,7397259.42,323101.52
apartamento,Tabajaras,Mooca,154,112,3,2,920000.0,-46.60137,-23.5617015,tabajaras,7393384.67,336561.48
apartamento,Tapinas,Itaim Bibi,7,163,2,2,1680000.0,-46.6777612,-23.581061,tapinas,7391151.57,328788.48
apartamento,Cayowaá,Perdizes,22,72,2,1,560000.0,-46.680178,-23.533948,cayowaa,7396365.98,328480.64
apartamento,Nove de Julho,República,68,48,1,0,320000.0,-46.6429464,-23.5501903,nove de julho,7394611.36,332302.72
apartamento,Bento de Barros,Raposo Tavares,44,64,2,1,270000.0,-46.79741,-23.60416,bento de barros,7388445.25,316608.09
apartamento,Bandeira Paulista,Itaim Bibi,53,91,2,1,,-46.6768292,-23.5803827,bandeira paulista,7391227.8,328882.73
apartamento,Jandira,Moema Índios,71,120,3,2,1230000.0,-46.6628569,-23.6061885,jandira,7388386.7,330342.06
apartamento,Conselheiro Moreira de Barros,Santana,132,120,3,3,1100000.0,-46.6370297,-23.4889842,conselheiro moreira de barros,7401396.12,332829.46
apartamento,Ernest Renam,Morumbi,303,83,2,1,250000.0,-46.7242833,-23.6111567,ernest renam,7387762.28,324080.21
apartamento,Alcantarilla,Vila Andrade,81,98,3,2,600000.0,-46.731188,-23.634279,alcantarilla,7385193.14,323406.62
apartamento,Barão da Torre,Ipanema,,78,2,1,1069000.0,-43.19747242,-22.98360745,barao da torre,7457159.76,684769.41
apartamento,Pensilvânia,Brooklin,21,82,3,1,690000.0,-46.6831173,-23.6141232,pensilvania,7387483.82,328284.87
