tipo_imovel,logradouro,bairro,numero,metragem,quartos,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm,lugares_alimentacao,lugares_servicos,outros,lugares_comercio,lugares_cultura,lugares_saude,lugares_educacao,lugares_religiosos,lugares_parques,lugares_estadios,lugares_turismo,lugares_metro_trem,lugares_transporte
apartamento,Taquari,Mooca,21,112,3,2,850000.0,-46.594710299999996,-23.5487432,taquari,7394827.21,337225.33,18.0,29.0,1.0,8.0,8.0,31.0,23.0,30.0,52.0,0.0,0.0,49.0,0.0
apartamento,Guilherme Dumont Villares,Vila Andrade,34,178,3,3,1150000.0,-46.739438,-23.621482999999998,guilherme dumont villares,7386599.99,322547.64,38.0,18.0,2.0,20.0,0.0,13.0,2.0,18.0,19.0,58.0,0.0,0.0,0.0
apartamento,Nossa Senhora das Mercês,Sacomã,111,65,2,1,0.0,-46.607620000000004,-23.622601100000004,nossa senhora das merces,7386633.63,335999.23,1.0,16.0,0.0,4.0,0.0,3.0,5.0,11.0,3.0,0.0,0.0,0.0,0.0
apartamento,Coronel Diogo,Chacara Klabin,55,42,1,1,430000.0,-46.616903,-23.580098,coronel diogo,7391329.67,334998.86,21.0,14.0,1.0,2.0,129.0,2.0,94.0,20.0,15.0,0.0,0.0,0.0,0.0
apartamento,Harmonia,Vila Madalena,84,224,2,4,3900000.0,-46.691509,-23.5503938,harmonia,7394531.17,327345.18,114.0,41.0,1.0,22.0,62.0,7.0,75.0,21.0,65.0,0.0,99.0,75.0,6.0
apartamento,Sergipe,Higienópolis,A-2,57,1,0,0.0,-46.65517379999999,-23.5491915,sergipe,7394707.61,331053.14,397.0,73.0,80.0,229.0,250.0,107.0,84.0,98.0,148.0,0.0,97.0,252.0,96.0
apartamento,Grumixamas,Jabaquara,24,50,2,1,340000.0,-46.6440006,-23.648639499999998,grumixamas,7383707.93,332320.37,4.0,8.0,1.0,18.0,4.0,3.0,26.0,14.0,3.0,0.0,0.0,37.0,0.0
apartamento,Aureliano Coutinho,Higienópolis,71,167,2,1,1400000.0,-46.6530903,-23.5423199,aureliano coutinho,7395471.02,331257.08,225.0,51.0,95.0,87.0,232.0,63.0,175.0,104.0,92.0,0.0,450.0,237.0,0.0
apartamento,Marcos Lopes,Vila Nova Conceição,64,85,2,1,0.0,-46.670719899999995,-23.5962642,marcos lopes,7389476.37,329526.82,204.0,34.0,1.0,22.0,16.0,51.0,86.0,81.0,117.0,0.0,111.0,59.0,0.0
apartamento,George Smith,Lapa,72,56,2,1,490000.0,-46.705515000000005,-23.5208442,george smith,7397786.58,325876.37,25.0,66.0,4.0,80.0,14.0,10.0,15.0,104.0,1.0,0.0,0.0,4.0,0.0
apartamento,General Eldes de Souza Guedes,Vila Sônia,61,169,4,3,995000.0,-46.7299228,-23.6002677,general eldes de souza guedes,7388961.21,323490.14,28.0,6.0,95.0,5.0,4.0,1.0,1.0,35.0,3.0,165.0,0.0,0.0,0.0
apartamento,Fradique Coutinho,Pinheiros,62,82,3,1,748000.0,-46.6867739,-23.5629025,fradique coutinho,7393151.64,327844.9,168.0,65.0,2.0,36.0,131.0,19.0,26.0,75.0,29.0,0.0,251.0,164.0,0.0
apartamento,Francisco José da Silva,Vila Andrade,134,71,2,2,0.0,-46.7399759,-23.6240843,francisco jose da silva,7386311.24,322496.26,38.0,30.0,1.0,52.0,0.0,12.0,2.0,13.0,19.0,0.0,0.0,0.0,0.0
apartamento,Jurupari,Jabaquara,31,65,2,1,280000.0,-46.6479597,-23.6456076,jurupari,7384039.02,331912.61,5.0,15.0,2.0,17.0,5.0,4.0,26.0,22.0,3.0,0.0,0.0,37.0,0.0
apartamento,Martinho de Campos,Lapa,31,92,2,2,980000.0,-46.7183425,-23.51693444,martinho de campos,7398203.92,324561.3,9.0,23.0,2.0,11.0,8.0,9.0,1.0,4.0,1.0,0.0,8.0,0.0,0.0
apartamento,Ibitirama,Vila Prudente,141,55,1,1,440000.0,-46.5771304,-23.5974737,ibitirama,7389450.82,339079.47,7.0,8.0,0.0,1.0,13.0,4.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0
apartamento,Sabiá,Moema Pássaros,41,165,3,4,0.0,-46.6658232,-23.5997697,sabia,7389093.99,330031.08,134.0,49.0,0.0,41.0,16.0,81.0,63.0,69.0,144.0,0.0,111.0,59.0,0.0
apartamento,Joaquim Eugênio de Lima,Jardim Paulista,161,256,4,2,2365000.0,-46.653813299999996,-23.568966699999997,joaquim eugenio de lima,7392519.32,331217.31,314.0,241.0,17.0,293.0,329.0,220.0,0.0,79.0,241.0,160.0,194.0,170.0,0.0
apartamento,Epitácio Pessoa,Lagoa,601,199,4,2,3480000.0,-43.20703951,-22.97439089,epitacio pessoa,7458192.4,683800.98,25.0,4.0,13.0,2.0,23.0,5.0,1.0,16.0,50.0,0.0,16.0,0.0,0.0
apartamento,Cobeias,Vila Prudente,922A,52,2,1,330000.0,-46.57488,-23.5969983,cobeias,7389505.99,339308.55,7.0,6.0,0.0,1.0,13.0,5.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0
apartamento,Baronesa de Itu,Santa Cecília,112,78,2,1,670000.0,-46.6596275,-23.538569,baronesa de itu,7395878.68,330584.85,178.0,50.0,106.0,82.0,60.0,54.0,73.0,70.0,168.0,84.0,6.0,82.0,0.0
apartamento,Pedro de Godói,Vila Prudente,31,120,4,2,1045000.0,-46.5808717,-23.5873703,pedro de godoi,7390565.43,338685.31,17.0,19.0,1.0,4.0,1.0,7.0,12.0,15.0,30.0,0.0,0.0,150.0,0.0
apartamento,Renato Paes de Barros,Itaim Bibi,AL-7,180,3,2,0.0,-46.67543320000001,-23.5786792,renato paes de barros,7391418.11,329023.01,73.0,77.0,2.0,45.0,230.0,69.0,18.0,76.0,2.0,0.0,0.0,0.0,0.0
apartamento,Oscar Cintra Gordinho,Sé,252,52,2,0,297702.0,-46.6284286,-23.5530316,oscar cintra gordinho,7394313.63,333788.42,86.0,89.0,54.0,72.0,408.0,10.0,205.0,108.0,17.0,1.0,743.0,386.0,1.0
