tipo_imovel,logradouro,bairro,numero,metragem,quartos,banheiros,vaga,preco_total,longitude,latitude,ruas,latitude_utm,longitude_utm,latitude_utm.1,longitude_utm.1,lugares_alimentacao,outros,lugares_servicos,lugares_comercio,lugares_cultura,lugares_saude,lugares_religiosos,lugares_parques,lugares_estadios,lugares_educacao,lugares_metro_trem,lugares_turismo,lugares_transporte
apartamento,Rua São Vicente de Paulo,Santa Cecília,650.0,95,2,2,1.0,4438,-46.65710770000001,-23.5400841,sao vicente de paulo,7395713.87,330844.05,7395713.87,330844.05,283.0,123.0,127.0,142.0,276.0,173.0,123.0,139.0,80.0,215.0,244.0,78.0,0.0
apartamento,Rua Adolfo Gordo,Bom Retiro,100.0,43,1,1,1.0,2358,-46.6493784,-23.5333959,adolfo gordo,7396463.61,331624.69,7396463.61,331624.69,174.0,42.0,156.0,215.0,157.0,16.0,161.0,52.0,0.0,95.0,163.0,0.0,0.0
apartamento,Rua Doutor Carvalho de Mendonça,Bom Retiro,251.0,32,1,1,1.0,2424,-46.651829600000006,-23.5341724,doutor carvalho de mendonca,7396374.74,331375.4,7396374.74,331375.4,166.0,128.0,129.0,136.0,172.0,77.0,133.0,66.0,0.0,77.0,163.0,0.0,0.0
apartamento,Rua Martim Francisco,Santa Cecília,67.0,50,2,2,1.0,3803,-46.6512193,-23.5382762,martim francisco,7395921.01,331442.95,7395921.01,331442.95,292.0,136.0,174.0,144.0,168.0,47.0,157.0,125.0,0.0,268.0,244.0,595.0,0.0
apartamento,Rua Doutor Sérgio Meira,Barra Funda,230.0,53,2,1,1.0,3132,-46.6563871,-23.528102800000006,doutor sergio meira,7397041.52,330902.31,7397041.52,330902.31,134.0,139.0,90.0,56.0,66.0,76.0,78.0,91.0,3.0,130.0,82.0,0.0,0.0
outro,Avenida Brigadeiro Luís Antônio,Bela Vista,339.0,40,1,1,0.0,3603,-46.6377426,-23.5538099,brigadeiro luis antonio,7394216.61,332838.56,7394216.61,332838.56,182.0,26.0,140.0,169.0,450.0,66.0,123.0,67.0,19.0,478.0,413.0,942.0,0.0
apartamento,R. Humaitá,Bela Vista,571.0,47,1,1,0.0,1976,-46.6420164,-23.5563628,humaita,7393928.91,332405.5,7393928.91,332405.5,193.0,33.0,80.0,68.0,437.0,110.0,111.0,76.0,19.0,348.0,413.0,600.0,84.0
outro,Rua Genebra,Bela Vista,296.0,25,1,1,0.0,2993,-46.6397973,-23.5535635,genebra,7394241.5,332628.49,7394241.5,332628.49,182.0,33.0,146.0,170.0,532.0,65.0,114.0,67.0,19.0,602.0,413.0,1025.0,0.0
outro,Rua Major Quedinho,Consolação,224.0,49,1,2,1.0,3639,-46.6437583,-23.5496911,major quedinho,7394665.69,332219.2,7394665.69,332219.2,266.0,37.0,139.0,259.0,380.0,73.0,119.0,92.0,0.0,635.0,449.0,1271.0,84.0
apartamento,Rua Santo Antônio,Bela Vista,722.0,53,1,2,1.0,3880,-46.64533820000001,-23.5516071,santo antonio,7394451.67,332060.34,7394451.67,332060.34,268.0,38.0,97.0,180.0,283.0,171.0,87.0,61.0,0.0,678.0,366.0,931.0,84.0
outro,Rua Asdrúbal do Nascimento,Bela Vista,108.0,45,1,1,1.0,2179,-46.6384416,-23.5504745,asdrubal do nascimento,7394585.15,332762.98,7394585.15,332762.98,214.0,37.0,181.0,211.0,552.0,90.0,143.0,90.0,19.0,587.0,497.0,1271.0,0.0
casa,Rua Doutor Ricardo Batista,Bela Vista,44.0,220,3,2,1.0,4992,-46.6437836,-23.551927300000006,doutor ricardo batista,7394418.03,332219.46,7394418.03,332219.46,236.0,44.0,131.0,199.0,386.0,108.0,104.0,74.0,0.0,705.0,449.0,1271.0,84.0
outro,Avenida Nove de Julho,Consolação,656.0,43,1,1,0.0,2359,-46.6447512,-23.5505195,nove de julho,7394572.79,332118.89,7394572.79,332118.89,266.0,37.0,122.0,203.0,306.0,86.0,115.0,79.0,0.0,629.0,366.0,1117.0,84.0
apartamento,Rua João Passalaqua,Bela Vista,140.0,12,1,1,1.0,1898,-46.64601270000001,-23.5540741,joao passalaqua,7394177.68,331994.62,7394177.68,331994.62,278.0,15.0,83.0,138.0,331.0,155.0,80.0,59.0,0.0,524.0,284.0,702.0,84.0
outro,Rua Frei Caneca,Consolação,277.0,32,1,1,1.0,3393,-46.6500833,-23.5522763,frei caneca,7394371.99,331576.77,7394371.99,331576.77,282.0,29.0,134.0,197.0,266.0,244.0,92.0,120.0,0.0,493.0,162.0,775.0,84.0
apartamento,Rua Itararé,Consolação,96.0,34,1,1,1.0,2888,-46.653335,-23.5545516,itarare,7394116.2,331247.72,7394116.2,331247.72,255.0,16.0,133.0,271.0,366.0,278.0,82.0,149.0,0.0,207.0,245.0,347.0,84.0
casa,Rua Avanhandava,Consolação,568.0,528,4,5,8.0,10850,-46.64902470000001,-23.5524518,avanhandava,7394353.8,331685.07,7394353.8,331685.07,284.0,29.0,110.0,113.0,265.0,225.0,88.0,120.0,0.0,472.0,204.0,701.0,84.0
apartamento,Rua Dona Antônia de Queirós,Consolação,88.0,36,1,1,1.0,2877,-46.6522771,-23.5523962,dona antonia de queiros,7394356.13,331352.96,7394356.13,331352.96,323.0,24.0,100.0,188.0,277.0,285.0,83.0,100.0,0.0,345.0,326.0,775.0,84.0
apartamento,Rua Barata Ribeiro,Consolação,205.0,36,1,1,1.0,3245,-46.65235560000001,-23.5564854,barata ribeiro,7393903.21,331350.17,7393903.21,331350.17,234.0,23.0,134.0,281.0,367.0,252.0,81.0,113.0,0.0,154.0,325.0,180.0,84.0
outro,Rua Barata Ribeiro,Consolação,205.0,36,1,1,1.0,3245,-46.65235560000001,-23.5564854,barata ribeiro,7393903.21,331350.17,7393903.21,331350.17,234.0,23.0,134.0,281.0,367.0,252.0,81.0,113.0,0.0,154.0,325.0,180.0,84.0
apartamento,Avenida Nove de Julho,Consolação,1030.0,78,1,1,0.0,2346,-46.6478675,-23.5525141,nove de julho,7394348.26,331803.28,7394348.26,331803.28,299.0,27.0,100.0,172.0,347.0,176.0,87.0,47.0,0.0,464.0,285.0,784.0,84.0
apartamento,Rua Conselheiro Ramalho,Bela Vista,701.0,48,1,1,0.0,3439,-46.6440671,-23.5579814,conselheiro ramalho,7393747.27,332198.21,7393747.27,332198.21,163.0,32.0,118.0,243.0,194.0,101.0,114.0,82.0,0.0,271.0,322.0,274.0,84.0
apartamento,Rua Conde São Joaquim,Bela Vista,392.0,37,1,1,0.0,1887,-46.640072,-23.5591256,conde sao joaquim,7393625.24,332607.49,7393625.24,332607.49,184.0,112.0,87.0,64.0,141.0,99.0,135.0,55.0,19.0,144.0,209.0,191.0,0.0
apartamento,R. Monsenhor Passaláqua,Bela Vista,212.0,38,1,1,1.0,3629,-46.6421878,-23.5602344,monsenhor passalaqua,7393499.98,332392.91,7393499.98,332392.91,181.0,32.0,100.0,113.0,73.0,144.0,117.0,70.0,0.0,64.0,323.0,191.0,84.0
apartamento,Rua Conselheiro Ramalho,Bela Vista,748.0,45,1,1,0.0,2041,-46.644407,-23.5585015,conselheiro ramalho,7393689.28,332164.17,7393689.28,332164.17,162.0,32.0,126.0,254.0,179.0,108.0,109.0,69.0,0.0,265.0,241.0,274.0,84.0
apartamento,Rua Maria José,Bela Vista,0.0,65,2,1,1.0,2548,0.0,0.0,maria jose,7393689.28,332164.17,7393689.28,332164.17,162.0,32.0,126.0,254.0,179.0,108.0,109.0,69.0,0.0,265.0,241.0,274.0,84.0
outro,Rua Genebra,Bela Vista,296.0,25,1,1,1.0,2992,-46.6397973,-23.5535635,genebra,7394241.5,332628.49,7394241.5,332628.49,182.0,33.0,146.0,170.0,532.0,65.0,114.0,67.0,19.0,602.0,413.0,1025.0,0.0
apartamento,Praça Carlos Gomes,Liberdade,83.0,78,1,1,0.0,1883,-46.6355131,-23.5533365,praca carlos gomes,7394271.63,333065.56,7394271.63,333065.56,140.0,52.0,150.0,164.0,359.0,66.0,102.0,61.0,19.0,555.0,577.0,1019.0,6.0
outro,Avenida Brigadeiro Luis Antonio,Bela Vista,323.0,40,1,1,1.0,3860,-46.6379902,-23.5535415,brigadeiro luis antonio,7394246.04,332812.94,7394246.04,332812.94,187.0,26.0,145.0,170.0,450.0,66.0,121.0,67.0,19.0,558.0,413.0,1025.0,0.0
outro,Rua Major Diogo,Bela Vista,115.0,36,1,1,1.0,2809,-46.643237,-23.5521993,major diogo,7394388.55,332275.61,7394388.55,332275.61,236.0,38.0,150.0,213.0,386.0,105.0,99.0,74.0,0.0,654.0,497.0,1266.0,84.0
apartamento,Avenida Paulista,Bela Vista,648.0,80,2,3,1.0,9905,-46.6492416,-23.5671314,paulista,7392727.94,331681.63,7392727.94,331681.63,124.0,35.0,182.0,254.0,218.0,249.0,105.0,99.0,0.0,135.0,357.0,253.0,0.0
casa,Avenida Paulista 900,Bela Vista,7.0,50,2,2,0.0,3843,-46.651121,-23.565104,paulista,7392950.24,331487.2,7392950.24,331487.2,211.0,35.0,204.0,345.0,315.0,288.0,106.0,108.0,0.0,111.0,244.0,253.0,84.0
apartamento,Rua Carlos Sampaio,Bela Vista,157.0,110,2,3,1.0,7005,-46.6459999,-23.5674014,carlos sampaio,7392701.85,332012.88,7392701.85,332012.88,111.0,28.0,152.0,245.0,115.0,265.0,123.0,30.0,0.0,165.0,437.0,160.0,0.0
apartamento,Rua Almirante Marques Leão,Bela Vista,656.0,38,1,1,1.0,3179,-46.64927150000001,-23.5624658,almirante marques leao,7393244.57,331672.63,7393244.57,331672.63,139.0,29.0,182.0,360.0,224.0,264.0,99.0,134.0,0.0,143.0,242.0,253.0,84.0
apartamento,Rua Treze de Maio,Bela Vista,1838.0,118,3,2,1.0,5073,-46.6440918,-23.5693389,treze de maio,7392489.53,332210.12,7392489.53,332210.12,128.0,21.0,134.0,247.0,113.0,221.0,117.0,27.0,0.0,56.0,437.0,78.0,0.0
apartamento,Rua dos Franceses,Bela Vista,470.0,150,3,4,3.0,5556,-46.64780379999999,-23.5625162,franceses,7393240.71,331822.52,7393240.71,331822.52,137.0,29.0,171.0,285.0,224.0,271.0,104.0,115.0,0.0,141.0,322.0,262.0,84.0
apartamento,Rua Artur Prado,Bela Vista,449.0,110,3,3,0.0,5048,-46.6434232,-23.5644075,artur prado,7393036.41,332272.1,7393036.41,332272.1,116.0,21.0,149.0,230.0,153.0,242.0,132.0,31.0,0.0,86.0,242.0,162.0,84.0
apartamento,Rua São Carlos do Pinhal,Bela Vista,290.0,200,3,2,1.0,5583,-46.6502513,-23.5645495,sao carlos do pinhal,7393012.67,331575.27,7393012.67,331575.27,127.0,35.0,205.0,338.0,321.0,289.0,108.0,108.0,0.0,118.0,161.0,253.0,84.0
apartamento,Rua Pamplona,Bela Vista,95.0,46,1,1,1.0,3783,-46.651557,-23.55968,pamplona,7393550.38,331435.77,7393550.38,331435.77,224.0,27.0,165.0,343.0,349.0,213.0,91.0,134.0,0.0,127.0,163.0,180.0,84.0
