id_site,type,type,area,bedrooms,suits,parkingSpots,floor,complexFee,propertyTax,price,amenities,currentPhase,lat,lng,city,number,postalCode,streetName,streetType,unitNumber,neighborhood
11cqtaq,apartment,apartment,94,2,0,2,10,1600,452.32,1200000,"['gym', 'gourmet', 'pool', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.57655650,-46.64195940,São Paulo,133,04104-000,Correia Dias,Rua,102,Vila Mariana
11dqdnf,apartment,apartment,70,2,0,1,4,708,63.84,,['green_area'],ready_to_move,-23.53273900,-46.65903300,São Paulo,703,01232-011,Conselheiro Brotero,Rua,41,Santa Cecília
11dvezf,apartment,apartment,300,3,3,5,2,6500,3369.21,3200000,"['gym', 'kids', 'gourmet', 'pool', 'party_room', 'play_game', 'green_area']",ready_to_move,-23.55643770,-46.69418530,São Paulo,656,05434-020,Morás,Rua dos,4,Vila Madalena
11e6oxw,apartment,apartment,40,1,0,1,1,600,0,450000,"['party_room', 'green_area']",ready_to_move,-23.54744340,-46.64425720,São Paulo,328,01302-000,Consolação,Rua da,104,República
11e8vsw,apartment,apartment,67,2,0,1,1,500,0,,['green_area'],ready_to_move,-23.53458300,-46.70876670,São Paulo,1021,05058-001,Ponta Porã,Rua,11,Vila Romana
11fg9mq,apartment,apartment,68,2,0,1,3,746.26,134.2,,"['party_room', 'green_area']",ready_to_move,-23.59378620,-46.67600470,São Paulo,88,04537-070,Visconde da Luz,Rua,34,Vila Olímpia
11h6vew,apartment,apartment,74,1,0,2,12,821,253.39,1095000,"['gym', 'pool', 'playground', 'party_room']",demolition,-23.55297910,-46.65108960,São Paulo,420,01306-010,Paim,Rua,122,Bela Vista
11hohek,apartment,apartment,70,2,2,2,5,1150,173.4,500000,"['gym', 'gourmet', 'pool', 'party_room']",ready_to_move,-23.63507700,-46.73243400,São Paulo,260,05717-170,Alcantarilla,Rua,52,Vila Andrade
11jtq9a,apartment,apartment,151,4,1,2,8,2140,661.84,,"['sports_court', 'party_room', 'green_area']",set_up,-23.54808360,-46.65554470,São Paulo,538,01239-010,Sabará,Rua,82,Higienópolis
11kjrmq,apartment,apartment,60,1,0,0,9,880,216,1450000,['green_area'],demolition,-22.98395875,-43.22115552,Rio de Janeiro,566,22440-033,Ataulfo de Paiva,Avenida,907,Leblon
